year,sbj,topic,grp,mean,level1c,level1b,level1a,level2,level3,level4,level5,level6,men,women,lower,middle,high
2009,Reading,General,Hebrew,498,NA,NA,NA,NA,NA,NA,NA,NA,480,515,NA,NA,NA
2009,Reading,General,Arabic,392,NA,NA,NA,NA,NA,NA,NA,NA,359,424,NA,NA,NA
2009,Reading,General,HebrewOfficial,501,NA,NA,NA,NA,NA,NA,NA,NA,407,516,NA,NA,NA
2009,Reading,General,HebrewReligious,503,NA,NA,NA,NA,NA,NA,NA,NA,404,530,NA,NA,NA
2009,Reading,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,NA,NA,NA
2009,Math,General,Hebrew,470,NA,NA,NA,NA,NA,NA,NA,NA,477,463,NA,NA,NA
2009,Math,General,HebrewOfficial,476,NA,NA,NA,NA,NA,NA,NA,NA,486,466,NA,NA,NA
2009,Math,General,HebrewReligious,471,NA,NA,NA,NA,NA,NA,NA,NA,476,464,NA,NA,NA
2009,Math,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,NA,NA,NA
2009,Math,General,Arabic,367,NA,NA,NA,NA,NA,NA,NA,NA,361,373,NA,NA,NA
2009,Math,General,OECD,496,NA,NA,NA,NA,NA,NA,NA,NA,501,490,NA,NA,NA
2009,Math,General,Israel,447,NA,NA,NA,NA,NA,NA,NA,NA,451,443,NA,NA,NA
2009,Science,General,Hebrew,476,NA,NA,NA,NA,NA,NA,NA,NA,478,474,NA,NA,NA
2009,Science,General,HebrewOfficial,482,NA,NA,NA,NA,NA,NA,NA,NA,486,479,NA,NA,NA
2009,Science,General,HebrewReligious,477,NA,NA,NA,NA,NA,NA,NA,NA,473,483,NA,NA,NA
2009,Science,General,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Science,General,Arabic,382,NA,NA,NA,NA,NA,NA,NA,NA,371,392,NA,NA,NA
2009,Science,General,OECD,501,NA,NA,NA,NA,NA,NA,NA,NA,501,501,NA,NA,NA
2009,Science,General,Israel,455,NA,NA,NA,NA,NA,NA,NA,NA,453,456,NA,NA,NA
2009,Reading,Variance,Hebrew,123,NA,NA,NA,NA,NA,NA,NA,NA,140,101,NA,NA,NA
2009,Reading,Variance,HebrewOfficial,115,NA,NA,NA,NA,NA,NA,NA,NA,124,100,NA,NA,NA
2009,Reading,Variance,HebrewReligious,138,NA,NA,NA,NA,NA,NA,NA,NA,145,115,NA,NA,NA
2009,Reading,Variance,HebrewOrthodox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,NA
2009,Reading,Variance,Arabic,113,NA,NA,NA,NA,NA,NA,NA,NA,108,93,NA,NA,NA
2009,Reading,Variance,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Reading,Variance,Israel,144,NA,NA,NA,NA,NA,NA,NA,NA,162,116,NA,NA,NA
2012,Math,uncertaintyNdata,Hebrew,487,NA,NA,NA,NA,NA,NA,NA,NA,495,479,NA,NA,NA
2012,Math,spanceNshape,Hebrew,470,NA,NA,NA,NA,NA,NA,NA,NA,477,463,NA,NA,NA
2012,Math,quantities,Hebrew,506,NA,NA,NA,NA,NA,NA,NA,NA,515,498,NA,NA,NA
2012,Math,changeNrelations,Hebrew,484,NA,NA,NA,NA,NA,NA,NA,NA,492,476,NA,NA,NA
2012,Math,interpretation,Hebrew,485,NA,NA,NA,NA,NA,NA,NA,NA,496,475,NA,NA,NA
2012,Math,wording,Hebrew,488,NA,NA,NA,NA,NA,NA,NA,NA,497,480,NA,NA,NA
2012,Math,implementation,Hebrew,489,NA,NA,NA,NA,NA,NA,NA,NA,495,484,NA,NA,NA
2012,Math,uncertaintyNdata,Arabic,389,NA,NA,NA,NA,NA,NA,NA,NA,383,394,NA,NA,NA
2012,Math,spanceNshape,Arabic,376,NA,NA,NA,NA,NA,NA,NA,NA,374,378,NA,NA,NA
2012,Math,quantities,Arabic,386,NA,NA,NA,NA,NA,NA,NA,NA,380,392,NA,NA,NA
2012,Math,changeNrelations,Arabic,386,NA,NA,NA,NA,NA,NA,NA,NA,383,388,NA,NA,NA
2012,Math,interpretation,Arabic,378,NA,NA,NA,NA,NA,NA,NA,NA,375,381,NA,NA,NA
2012,Math,wording,Arabic,380,NA,NA,NA,NA,NA,NA,NA,NA,378,382,NA,NA,NA
2012,Math,implementation,Arabic,396,NA,NA,NA,NA,NA,NA,NA,NA,391,400,NA,NA,NA
2012,Math,uncertaintyNdata,OECD,493,NA,NA,NA,NA,NA,NA,NA,NA,497,489,NA,NA,NA
2012,Math,spanceNshape,OECD,490,NA,NA,NA,NA,NA,NA,NA,NA,497,482,NA,NA,NA
2012,Math,quantities,OECD,495,NA,NA,NA,NA,NA,NA,NA,NA,501,490,NA,NA,NA
2012,Math,changeNrelations,OECD,493,NA,NA,NA,NA,NA,NA,NA,NA,498,487,NA,NA,NA
2012,Math,interpretation,OECD,497,NA,NA,NA,NA,NA,NA,NA,NA,502,492,NA,NA,NA
2012,Math,wording,OECD,492,NA,NA,NA,NA,NA,NA,NA,NA,499,484,NA,NA,NA
2012,Math,implementation,OECD,493,NA,NA,NA,NA,NA,NA,NA,NA,498,489,NA,NA,NA
2012,Math,uncertaintyNdata,Israel,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,spanceNshape,Israel,449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,quantities,Israel,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,changeNrelations,Israel,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,interpretation,Israel,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,wording,Israel,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,Math,implementation,Israel,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Math,General,OECD,496,NA,8,14,22,24.3,18.9,9.6,3.1,NA,NA,NA,NA,NA
2009,Math,General,Israel,447,NA,20.5,18.9,22.5,20.1,12,4.7,1.2,NA,NA,NA,NA,NA
2009,Math,General,Hebrew,470,NA,12.8,17,23.9,23.9,14.9,6,1.5,477,463,NA,NA,NA
2009,Math,General,Arabic,367,NA,47.1,25.5,17.9,7,2.3,0.2,0,361,373,NA,NA,NA
2009,Math,General,HebrewOfficial,476,NA,11.7,15.2,23.7,25.4,16.2,6.4,1.4,486,466,NA,NA,NA
2009,Math,General,HebrewReligious,471,NA,13,18.2,22.6,22.6,14.1,6.9,2.5,476,464,NA,NA,NA
2009,Math,General,HebrewOrthodox,NA,NA,11.3,22.9,30.9,21.8,10.2,2.6,0.2,NA,453,NA,NA,NA
2009,Science,General,OECD,501,NA,5,13,24.4,28.6,20.6,7.4,1.1,NA,NA,NA,NA,NA
2009,Science,General,Israel,455,NA,13.9,19.2,26,24.1,12.8,3.5,0.5,NA,NA,NA,NA,NA
2009,Science,General,Hebrew,476,NA,9,15.6,26.4,28.1,15.8,4.5,0.6,478,474,NA,NA,NA
2009,Science,General,Arabic,382,NA,30.7,31.6,24.6,10.5,2.4,0.1,0,371,392,NA,NA,NA
2009,Science,General,HebrewOfficial,482,NA,7.9,14.4,25.4,29.8,17.2,4.7,0.5,486,479,NA,NA,NA
2009,Science,General,HebrewReligious,477,NA,10.2,13.9,26.2,27.5,16.3,5.3,0.6,473,483,NA,NA,NA
